node,score
0,350000
57,350000
378,350000
426,350000
540,350000
562,350000
603,350000
711,350000
743,350000
825,350000
1058,350000
1079,350000
1207,350000
1264,350000
1292,350000
1336,350000
1441,350000
1459,350000
1559,350000
1617,350000
1639,350000
1766,350000
1803,350000
1829,350000
1918,350000
2007,350000
2042,350000
2284,350000
2298,350000
2364,350000
2541,350000
2636,350000
2644,350000
2657,350000
2798,350000
2966,350000
3323,350000
3409,350000
3410,350000
3477,350000
3500,350000
3751,350000
3795,350000
3858,350000
3971,350000
4105,350000
4414,350000
4449,350000
4455,350000
4511,350000
4546,350000
4700,350000
4738,350000
4802,350000
4835,350000
4924,350000
5062,350000
5212,350000
5353,350000
5434,350000
5603,350000
5616,350000
5630,350000
5705,350000
5786,350000
5941,350000
5995,350000
6004,350000
6057,350000
6068,350000
6307,350000
6346,350000
6410,350000
6421,350000
6462,350000
6728,350000
6759,350000
6892,350000
6913,350000
6927,350000
6940,350000
7000,350000
7107,350000
7112,350000
7193,350000
7305,350000
7468,350000
7531,350000
7564,350000
7603,350000
7699,350000
7749,350000
7770,350000
7771,350000
8019,350000
8099,350000
8241,350000
8484,350000
8527,350000
8545,350000
8549,350000
8653,350000
8694,350000
8819,350000
8848,350000
9001,350000
9071,350000
9152,350000
9325,350000
9379,350000
9578,350000
9635,350000
9750,350000
9767,350000
9807,350000
9815,350000
9928,350000
108,340000
121,340000
197,340000
340,340000
550,340000
684,340000
919,340000
933,340000
986,340000
1093,340000
1198,340000
1266,340000
1519,340000
1940,340000
1965,340000
2044,340000
2118,340000
2194,340000
2276,340000
2314,340000
2323,340000
2493,340000
2577,340000
2635,340000
3161,340000
3183,340000
3291,340000
3316,340000
3339,340000
3349,340000
3493,340000
3587,340000
3700,340000
3712,340000
3767,340000
3957,340000
4534,340000
4666,340000
4678,340000
4841,340000
4868,340000
4964,340000
4971,340000
5140,340000
5304,340000
5416,340000
5427,340000
5492,340000
5514,340000
5567,340000
5643,340000
5683,340000
5725,340000
5878,340000
5879,340000
6044,340000
6113,340000
6238,340000
6326,340000
6340,340000
6599,340000
6752,340000
6888,340000
7242,340000
7248,340000
7285,340000
7353,340000
7375,340000
7424,340000
7431,340000
7457,340000
7566,340000
7576,340000
7690,340000
7858,340000
8138,340000
8334,340000
8405,340000
8424,340000
8478,340000
8486,340000
8702,340000
8744,340000
9226,340000
9392,340000
9453,340000
9512,340000
9755,340000
9864,340000
9931,340000
9942,340000
701,330000
980,330000
1048,330000
1118,330000
1391,330000
1440,330000
1568,330000
1725,330000
1762,330000
1860,330000
1904,330000
2073,330000
2105,330000
2183,330000
2188,330000
2234,330000
2393,330000
2623,330000
2734,330000
2780,330000
2883,330000
2902,330000
3017,330000
3027,330000
3115,330000
3129,330000
3213,330000
3622,330000
3653,330000
3735,330000
3851,330000
4000,330000
4202,330000
4213,330000
4247,330000
4385,330000
4464,330000
4465,330000
4547,330000
4564,330000
4585,330000
4614,330000
4779,330000
4877,330000
5139,330000
5309,330000
5332,330000
5388,330000
5391,330000
5588,330000
6125,330000
6180,330000
6516,330000
6745,330000
7115,330000
7136,330000
7215,330000
7464,330000
7486,330000
7839,330000
8100,330000
8115,330000
8163,330000
8247,330000
8266,330000
8340,330000
8413,330000
8458,330000
8675,330000
8741,330000
8754,330000
8852,330000
9027,330000
9077,330000
9194,330000
9347,330000
9428,330000
9688,330000
9728,330000
9862,330000
96,320000
103,320000
153,320000
233,320000
234,320000
409,320000
1073,320000
1221,320000
1407,320000
1424,320000
1524,320000
1544,320000
1599,320000
1701,320000
1722,320000
2099,320000
2232,320000
2236,320000
2495,320000
2669,320000
2760,320000
2927,320000
3328,320000
3381,320000
3628,320000
3631,320000
3741,320000
3762,320000
3822,320000
3914,320000
4077,320000
4119,320000
4155,320000
4450,320000
4458,320000
4628,320000
4813,320000
4925,320000
4961,320000
5009,320000
5348,320000
5580,320000
5619,320000
5760,320000
5819,320000
6079,320000
6511,320000
6714,320000
6727,320000
6758,320000
6983,320000
7020,320000
7290,320000
7295,320000
7322,320000
7432,320000
7503,320000
7537,320000
7660,320000
7854,320000
8105,320000
8446,320000
8453,320000
8466,320000
8563,320000
8566,320000
8581,320000
8651,320000
8756,320000
8821,320000
8842,320000
8897,320000
8969,320000
9031,320000
9066,320000
9145,320000
9147,320000
9205,320000
9319,320000
9415,320000
9418,320000
9459,320000
9651,320000
9722,320000
9842,320000
138,310000
416,310000
558,310000
727,310000
736,310000
850,310000
1084,310000
1222,310000
1362,310000
1563,310000
2022,310000
2040,310000
2125,310000
2433,310000
2859,310000
2985,310000
3159,310000
3209,310000
3338,310000
3481,310000
3524,310000
3643,310000
3667,310000
4253,310000
4340,310000
5186,310000
5206,310000
5290,310000
5331,310000
5386,310000
5506,310000
5632,310000
6345,310000
6595,310000
6765,310000
6873,310000
6881,310000
7035,310000
7134,310000
7928,310000
7988,310000
8044,310000
8321,310000
8401,310000
8406,310000
8450,310000
8588,310000
8710,310000
8888,310000
8924,310000
8966,310000
9234,310000
